model,region,target,weight
ReichLab-KCDE,hhs7,2,0.1161091904537181
LANL-DBM,hhs7,2,1.0522452550962809e-27
CU-RHF_SEIRS,hhs7,2,3.9119108020762965e-12
Delphi-EmpiricalTraj,hhs7,2,1.8822308712056392e-66
CU-EKF_SEIRS,hhs8,2,0.4521323979872613
CU-EKF_SIRS,hhs8,2,1.7889505442194613e-05
Delphi-DeltaDensity2,hhs8,2,1.1226075741863367e-26
CU-BMA,hhs8,2,2.0238852418109798e-37
CU-EAKFC_SEIRS,hhs8,2,0.1025324787253734
ReichLab-KDE,hhs8,2,4.8967573145327385e-108
ReichLab-SARIMA1,hhs8,2,4.228351038944796e-59
Delphi-BasisRegression,hhs8,2,1.820510860950925e-19
Delphi-DeltaDensity1,hhs8,2,0.445236350721609
CU-RHF_SIRS,hhs8,2,7.305889559711639e-08
CU-EAKFC_SIRS,hhs8,2,2.2677807835595807e-14
Delphi-Uniform,hhs8,2,2.1943152924889065e-293
ReichLab-SARIMA2,hhs8,2,2.395621802920145e-52
Delphi-Stat,hhs8,2,1.8874963508669448e-16
Delphi-EmpiricalBayes1,hhs8,2,2.6061677912429554e-12
Delphi-EmpiricalFuture,hhs8,2,4.622279516496301e-137
Delphi-EmpiricalBayes2,hhs8,2,4.480659416428156e-70
ReichLab-KCDE,hhs8,2,1.5848628482296205e-16
LANL-DBM,hhs8,2,3.5427326654684562e-62
CU-RHF_SEIRS,hhs8,2,8.080999878937887e-05
Delphi-EmpiricalTraj,hhs8,2,4.622279516496301e-137
CU-EKF_SEIRS,hhs9,2,0.0037989238366161813
CU-EKF_SIRS,hhs9,2,0.38917128914869875
Delphi-DeltaDensity2,hhs9,2,1.0748024667245546e-32
CU-BMA,hhs9,2,1.2490388762481935e-57
CU-EAKFC_SEIRS,hhs9,2,2.8681266153766246e-39
ReichLab-KDE,hhs9,2,3.282734185522541e-32
ReichLab-SARIMA1,hhs9,2,5.6452419421405324e-89
Delphi-BasisRegression,hhs9,2,0.5628406496294648
Delphi-DeltaDensity1,hhs9,2,3.13307318285073e-61
CU-RHF_SIRS,hhs9,2,0.00020434138097570172
CU-EAKFC_SIRS,hhs9,2,5.1408356351159024e-21
Delphi-Uniform,hhs9,2,1.0803724790379965e-210
ReichLab-SARIMA2,hhs9,2,1.6979116260688816e-40
Delphi-Stat,hhs9,2,4.330471708945476e-53
Delphi-EmpiricalBayes1,hhs9,2,4.803676503560716e-48
Delphi-EmpiricalFuture,hhs9,2,5.6572589463892006e-42
Delphi-EmpiricalBayes2,hhs9,2,0.043984796004244174
ReichLab-KCDE,hhs9,2,8.135533101098311e-60
LANL-DBM,hhs9,2,1.0597725841227243e-25
CU-RHF_SEIRS,hhs9,2,1.4765996463477726e-34
Delphi-EmpiricalTraj,hhs9,2,5.6572589463892006e-42
CU-EKF_SEIRS,hhs10,2,0.057668305951085394
CU-EKF_SIRS,hhs10,2,0.06396187144567522
Delphi-DeltaDensity2,hhs10,2,1.625876216324823e-07
CU-BMA,hhs10,2,3.2172236006726534e-09
CU-EAKFC_SEIRS,hhs10,2,8.941420868014318e-06
ReichLab-KDE,hhs10,2,1.4184194707646804e-30
